date,Prior Value,Long,Short,Net Value
20191103,1002689.76,1002689.76,0,1002689.76
20191104,1002689.76,1268696.162,-272898.8,995797.3618
20191105,995797.3618,1270243.442,-274989.3,995254.1418
20191106,995254.1418,1274329.482,-275996.7,998332.7818
20191107,998332.7818,1271963.022,-277553.23,994409.7918
20191108,994409.7918,1273284.042,-277005.33,996278.7118
20191111,996278.7118,1341712.24,-345728.2945,995983.9455
20191112,995983.9455,1339070.17,-345930.9345,993139.2355
20191113,993139.2355,1344257.93,-344867.4445,999390.4855
20191114,999390.4855,1342946.9,-344558.1245,998388.7755
20191115,998388.7755,1343727.38,-345430.5345,998296.8455
20191118,998296.8455,1348523.01,-345363.8045,1003159.205
20191119,1003159.205,1388004.511,-384466.7,1003537.811
20191120,1003537.811,1385930.011,-381799.47,1004130.541
20191121,1004130.541,1383021.951,-381134.15,1001887.801
20191122,1001887.801,1383673.221,-383810.57,999862.6512
20191125,999862.6512,1346024.459,-346995.37,999029.0889
20191126,999029.0889,1347195.109,-348056.44,999138.6689
20191127,999138.6689,1349945.259,-350813.12,999132.1389
20191129,999132.1389,1348788.739,-350107.71,998681.0289
20191202,998681.0289,1378785.057,-380696.12,998088.9373
20191203,998088.9373,1377499.787,-377436.36,1000063.427
20191204,1000063.427,1383437.797,-378213.55,1005224.247
20191205,1005224.247,1387017.907,-380205.31,1006812.597
20191206,1006812.597,1005213.735,-107.02,1005106.715
